"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(1,5)) []","re(S(1,6)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(2,5)) []","re(S(2,6)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(3,5)) []","re(S(3,6)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []","re(S(4,5)) []","re(S(4,6)) []","re(S(5,1)) []","re(S(5,2)) []","re(S(5,3)) []","re(S(5,4)) []","re(S(5,5)) []","re(S(5,6)) []","re(S(6,1)) []","re(S(6,2)) []","re(S(6,3)) []","re(S(6,4)) []","re(S(6,5)) []","re(S(6,6)) []"
25,-0.527749329458161,-0.0713997893011341,3.73349964494236E-05,0.000109608879832966,-0.40513218469798,-0.139296394146553,-0.0713997893011347,-0.525795290619293,-2.83544158197282E-05,-8.11883458689559E-05,-0.135811691009482,-0.404715408736305,3.73349964494412E-05,-2.83544158197415E-05,-0.990179177037541,-4.56278500931364E-05,-0.000102637538541355,1.51570494563148E-05,0.000109608879832942,-8.11883458689373E-05,-4.56278500931368E-05,-0.990617287877165,-0.000129085411179238,0.000190074144502532,-0.40513218469799,-0.135811691009479,-0.000102637538541224,-0.000129085411179346,0.742134338620295,-0.00733916788312983,-0.139296394146556,-0.404715408736302,1.51570494562708E-05,0.00019007414450265,-0.0073391678831267,0.743039785187447
26,0.725412817613405,-0.0653862950905054,-6.48019267147841E-05,-0.000100581235739128,-0.0638761184970553,-0.277337939642147,-0.0653862950905057,0.724802599897752,0.000120685861846195,0.000218227851635242,-0.275613132111739,-0.0645550820205666,-6.48019267148053E-05,0.000120685861845875,-0.989610850351264,6.46733362121992E-06,1.78077680382194E-05,-9.33874551356562E-05,-0.000100581235738965,0.000218227851635425,6.46733362132775E-06,-0.990033727576933,-0.00146476766014367,0.000857476228240321,-0.0638761184970491,-0.275613132111729,1.78077680383084E-05,-0.00146476766014357,0.312655202237546,0.532356736379931,-0.277337939642149,-0.0645550820205836,-9.33874551356148E-05,0.000857476228240365,0.532356736379925,0.311554767275831
27,0.719516217389855,-0.202004610886455,-1.67308025051559E-05,-0.000200528304904673,0.00832292499110045,-0.0924213970656664,-0.202004610886444,0.722929350979624,-3.29718586029844E-05,-6.17795628388164E-05,-0.0956626802755655,0.00944762178128287,-1.67308025050625E-05,-3.29718586032159E-05,-0.988938650153588,-4.18506729661848E-06,6.33161012533519E-05,-2.92599944542175E-05,-0.000200528304904675,-6.17795628390539E-05,-4.1850672966236E-06,-0.989486231836245,-0.000378430988543569,0.00101031970020725,0.00832292499109527,-0.0956626802755085,6.33161012528981E-05,-0.000378430988543394,0.261665305275896,0.413046576788425,-0.0924213970656853,0.00944762178127517,-2.92599944545032E-05,0.00101031970020724,0.413046576788402,0.262061952769633
28,0.196232250928598,-0.0671160769514732,-8.25805230715643E-06,8.15092687042944E-05,0.149974546112714,0.398384260301805,-0.0671160769516251,0.194110203352852,-3.95115253848447E-05,-0.000188742204068388,0.469867052900246,0.08813273532634,-8.25805230754428E-06,-3.95115253847595E-05,-0.988266768787955,-2.90089847180517E-06,-2.28220713623217E-07,1.89209324469469E-06,8.15092687043252E-05,-0.000188742204068036,-2.90089847180493E-06,-0.988781637740587,-0.000305486793970513,0.000777966318680043,0.149974546112858,0.469867052900962,-2.282207137849E-07,-0.000305486793970781,-0.127915764217609,-0.11687189339149,0.398384260301705,0.0881327353265354,1.89209324500995E-06,0.000777966318680298,-0.116871893391476,-0.124439197415425
29,0.783880052540214,-0.00250784273548979,3.21300710149615E-05,-0.00022917981667817,-0.0726362432062981,-0.314302006103214,-0.00250784273549542,0.787070388619555,-3.23193451208217E-05,-1.49901812125254E-05,-0.39606148941152,-0.0792283864733498,3.21300710147927E-05,-3.23193451208423E-05,-0.987586474991266,-1.84244311959786E-06,-0.000154435503198979,1.3567256969448E-06,-0.000229179816678121,-1.49901812125777E-05,-1.84244311959851E-06,-0.988071547397039,-0.00083945707356275,0.00321480161168771,-0.0726362432062923,-0.39606148941164,-0.00015443550319836,-0.000839457073562803,0.529014621702391,0.375095029612077,-0.314302006102841,-0.0792283864733669,1.35672569718091E-06,0.00321480161169128,0.375095029612207,0.533960924963997
30,0.827055207254738,0.00894743585210044,0.000187859880860466,0.000353438330636429,-0.0937568099364663,0.109813312609543,0.00894743585210001,0.827178995555806,0.000393038077970103,0.000230631183060001,0.109363468642325,-0.0935977980842421,0.00018785988086048,0.000393038077970123,-0.98702142796211,-4.50441729660317E-05,0.00121170611011918,-0.000323863263034495,0.000353438330636407,0.000230631183060004,-4.50441729660319E-05,-0.987319738062026,-0.000507951519099058,0.00138604934662237,-0.0937568099364687,0.109363468642327,0.00121170611011921,-0.00050795151909906,0.459809970993568,0.348697672350342,0.109813312609561,-0.0935977980842377,-0.000323863263034421,0.00138604934662234,0.348697672350342,0.459308262413599
31,0.701212680717892,0.073929454529352,-0.00132718495806447,-0.00338509291867292,0.0509473887530796,-0.141552327171222,0.073929454529361,0.701776408321801,-0.00364129439677716,2.65371299078901E-05,-0.139674689074378,0.0490885691538687,-0.00132718495806614,-0.00364129439677441,0.535525328838505,0.394496160972172,0.125047497570134,-0.127981184197886,-0.0033850929186727,2.65371299067729E-05,0.39449616097216,0.506044433083404,-0.128816877898445,0.124861443960274,0.050947388753075,-0.13967468907438,0.125047497570127,-0.128816877898443,0.780092849168741,0.155276545159953,-0.141552327171226,0.0490885691538606,-0.127981184197889,0.124861443960301,0.15527654515992,0.780237824662381
32,0.673727143678096,-0.162699237457905,0.00207527102076252,0.00239479836926187,-0.0903680510621713,-0.147635346351009,-0.162699237457904,0.672832414790484,0.000386883751875586,0.00298867498007347,-0.145170531482924,-0.0901725981352797,0.00207527102076244,0.00038688375187506,-0.43020952935916,0.000244611715852908,0.00209615194389602,-0.000934128600589386,0.00239479836925084,0.00298867498007327,0.000244611715852873,-0.435939119528049,-0.00210484790891398,0.00225109054630063,-0.0903680510620186,-0.145170531482926,0.00209615194389687,-0.00210484790891367,0.86089367391925,-0.0489866520003583,-0.147635346350994,-0.0901725981349118,-0.00093412860058864,0.00225109054630108,-0.0489866520003219,0.864252100650618
33,0.263326010424926,0.22280353789785,-0.00218565653191366,-0.00446649448214846,0.280638155733887,-0.0882639043307399,0.22280353789784,0.263951995913164,-0.00450817047081237,-0.0023221110506192,-0.0794445169849152,0.276772669499068,-0.0021856565319136,-0.00450817047081206,-0.987079808351572,-8.01280177843907E-05,-0.00021631874748262,-0.00294981155007222,-0.00446649448214866,-0.00232211105061898,-8.0128017784388E-05,-0.985049087831701,-0.00284648828856291,0.000131421880395492,0.2806381557339,-0.0794445169849187,-0.000216318747482626,-0.00284648828856401,0.102774009770541,0.156406333313415,-0.0882639043306524,0.276772669499083,-0.00294981155007213,0.000131421880395422,0.156406333313392,0.0924148369192532
34,0.463391129873745,-0.00488756588814324,-0.000629411667131845,0.000221314240836076,0.00549658058730234,0.0121579905287424,-0.00488756588814378,0.460360799229078,0.000226473637097064,-0.000595536052636642,0.0123943648293068,0.00617529553108898,-0.000629411667131852,0.000226473637097124,-0.983595782921021,-0.000151953345756552,0.000796970188746166,-0.000860601164132427,0.000221314240836118,-0.000595536052636639,-0.000151953345756559,-0.983965467567123,-0.00114448150490334,0.00111166463070477,0.00549658058730091,0.0123943648293051,0.000796970188746008,-0.00114448150490342,0.416961037831192,0.112918590925647,0.0121579905287443,0.00617529553109214,-0.000860601164132429,0.0011116646307043,0.112918590925643,0.422517571049014
