"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(1,5)) []","im(S(1,6)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(2,5)) []","im(S(2,6)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(3,5)) []","im(S(3,6)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []","im(S(4,5)) []","im(S(4,6)) []","im(S(5,1)) []","im(S(5,2)) []","im(S(5,3)) []","im(S(5,4)) []","im(S(5,5)) []","im(S(5,6)) []","im(S(6,1)) []","im(S(6,2)) []","im(S(6,3)) []","im(S(6,4)) []","im(S(6,5)) []","im(S(6,6)) []"
25,0.64430152955706,-0.103326794461825,-6.06855709143654E-05,8.70213066639848E-05,0.097728091597889,-0.0250815833847089,-0.103326794461825,0.646450540838117,4.3196961556814E-06,-0.000101462044154821,-0.0257257893747654,0.0992024179603701,-6.06855709144331E-05,4.31969615568138E-06,0.11237278189952,-0.000168526328502581,3.71703088701383E-05,-6.47319315486229E-05,8.70213066640343E-05,-0.000101462044154882,-0.000168526328502583,0.107765987132674,7.08836413750206E-06,1.12601158031933E-05,0.0977280915978913,-0.0257257893747625,3.71703088700729E-05,7.08836413756009E-06,0.348116784405618,0.0227205742770993,-0.0250815833847077,0.0992024179603698,-6.47319315486052E-05,1.12601158031978E-05,0.022720574277093,0.344378742372067
26,0.524627383276665,0.0241922398241352,-3.87271435278234E-07,0.000262161604349234,0.08194293342348,0.305416908016919,0.024192239824133,0.525394486309905,-3.00197403300733E-05,-0.000139392283532885,0.304549579838984,0.0845338242326483,-3.87271435355619E-07,-3.00197403307563E-05,0.116938041624756,1.36756673022172E-05,-7.83901150663176E-05,4.98881856139898E-05,0.000262161604349334,-0.000139392283532939,1.36756673022699E-05,0.117851229830271,0.00131755351008378,-0.000291905220067406,0.0819429334234699,0.304549579838986,-7.83901150663963E-05,0.00131755351008987,0.505298545639027,-0.248328807696463,0.305416908016922,0.0845338242326497,4.98881856142719E-05,-0.000291905220066528,-0.248328807696433,0.503996116550999
27,0.180077371131924,0.100743199421265,-3.63230332671967E-05,0.000122465574996623,0.0311231429879905,0.125358230176468,0.100743199421255,0.182060572206238,-6.11239566362421E-06,-0.000240496570160948,0.121461195406581,0.0328362433888567,-3.63230332673146E-05,-6.11239566361474E-06,0.121606652185477,1.28667526887737E-05,3.74901130269592E-05,-6.74211187080956E-05,0.000122465574996679,-0.000240496570161195,1.28667526887761E-05,0.122612987280131,3.13713051647901E-05,-0.000334111784794152,0.0311231429879912,0.121461195406625,3.74901130274434E-05,3.13713051645952E-05,-0.20115194825356,0.0301502612824096,0.12535823017645,0.0328362433888714,-6.74211187075009E-05,-0.000334111784794316,0.030150261282422,-0.201493194506729
28,-0.179346094028843,0.28107349000934,1.27178326583225E-05,0.000359952375153604,-0.059347836981968,0.248227225315224,0.28107349000921,-0.175954989453279,-1.55692623866545E-05,0.000340735502806272,0.222259710389799,-0.0615264396894835,1.27178326584419E-05,-1.55692623869489E-05,0.126238023642013,1.39973762718466E-05,8.08896557566938E-07,1.07526733645473E-05,0.000359952375153414,0.000340735502806546,1.39973762718388E-05,0.127320121006176,-0.000261841912336564,-0.000409337570199457,-0.0593478369820907,0.222259710388938,8.08896557880528E-07,-0.000261841912337009,0.0293629295272164,0.0421671618224275,0.248227225315607,-0.0615264396897409,1.07526733643466E-05,-0.00040933757019981,0.0421671618224817,0.0295345861005564
29,0.0032531915319278,-0.180676273436779,8.39703483046104E-05,-0.000155641958637869,-0.166784468294597,-0.31130318842896,-0.180676273436769,0.00391559621508106,-8.58280561024084E-05,1.69983054933173E-06,-0.259068662657772,-0.162392281047155,8.39703483045021E-05,-8.58280561025934E-05,0.130880747539561,1.30482311277038E-05,0.000118447268693741,-9.7005480874225E-05,-0.000155641958637833,1.6998305492435E-06,1.30482311277011E-05,0.13206125550971,4.39094695601529E-05,0.000363471343801949,-0.16678446829459,-0.259068662656944,0.000118447268693707,4.39094695601929E-05,0.483957592118011,0.157452652268256,-0.311303188429478,-0.162392281047234,-9.70054808747648E-05,0.000363471343798732,0.157452652268278,0.477223006592711
30,-0.373426368059121,0.0114293885759685,-0.000188957696237851,-0.000226505849461643,-0.0285443656485745,-0.354141057340022,0.0114293885759705,-0.374290729693158,-0.000187094421885777,-0.000144989763387948,-0.353328977920728,-0.0283052605278248,-0.000188957696237843,-0.00018709442188579,0.138343220776962,0.000122332517107529,-0.000505521674065931,0.000427640846041988,-0.000226505849461652,-0.000144989763387953,0.00012233251710753,0.136822609943264,0.000275833483036942,-0.000349942867911955,-0.0285443656485759,-0.353328977920743,-0.0005055216740659,0.000275833483037043,0.577478686440504,-0.156582224406144,-0.354141057340018,-0.0283052605278286,0.000427640846041943,-0.000349942867911873,-0.15658222440614,0.577253410592078
31,-0.573540185181531,0.0499109670688797,0.0317909791723116,-0.0311185219514883,0.0470012045114296,-0.302985623118135,0.0499109670688689,-0.577792160558892,-0.0307205574538377,0.0308750230814757,-0.297807565890728,0.0432847107273684,0.0317909791723099,-0.0307205574538378,-0.471790129433239,0.0941570961790128,-0.0127876283490194,-0.00403317098320133,-0.0311185219514862,0.0308750230814698,0.0941570961790316,-0.502571818118433,-0.00044103153731706,-0.0162766272987508,0.047001204511422,-0.29780756589073,-0.0127876283490032,-0.00044103153731569,-0.0600661868781312,0.0515128460680042,-0.302985623118146,0.0432847107273618,-0.00403317098320689,-0.0162766272987535,0.051512846068019,-0.0589302853903808
32,-0.562167663052089,-0.162430714961887,-0.00342103721647052,-0.00310273854193301,-0.0928169321790489,-0.200471612263173,-0.162430714961903,-0.566982570206948,-0.0025953241568148,-0.00382402932294028,-0.200481702657936,-0.0881228772268676,-0.00342103721647054,-0.00259532415681533,0.91853927737092,0.000819612833958192,-0.00361974414742041,-0.000245544123796666,-0.00310273854192691,-0.00382402932293806,0.000819612833957953,0.916878509957969,-0.00031386752668419,-0.00311645965202137,-0.0928169321797379,-0.200481702657892,-0.00361974414741988,-0.000313867526683164,-0.0276587688085813,-0.334385560354383,-0.20047161226327,-0.0881228772248531,-0.000245544123796756,-0.00311645965202073,-0.334385560354347,-0.0342909450181451
33,-0.30837682197119,0.457726784396824,-0.000314476589540519,-0.000855756188336667,0.325520919089608,0.309670002249162,0.457726784396851,-0.314873506340326,-0.000500656694128319,-0.000197911792888978,0.30723353740522,0.318435021862131,-0.000314476589540503,-0.000500656694128196,0.150557382751103,0.000132962628946765,-0.00237589590531533,0.00118295432344901,-0.000855756188336489,-0.000197911792889014,0.00013296262894677,0.151304214368674,-0.000245839316158315,-0.00189724927023343,0.325520919089611,0.307233537405276,-0.0023758959053153,-0.000245839316158224,-0.0402463939470943,-0.40582792112355,0.309670002249217,0.31843502186213,0.00118295432344883,-0.00189724927023372,-0.405827921123583,-0.0305678683524359
34,-0.748235044993932,0.0072188013966012,-0.00015825421223946,0.000529531862572289,0.0526757945291352,0.42828266886384,0.00721880139659973,-0.748298890043639,0.000427023054360648,-0.000222856035947301,0.43089250202819,0.0526650504933173,-0.000158254212239454,0.000427023054360678,0.157914131425736,8.14152784132363E-05,-0.00123368590593597,0.000912062397663201,0.000529531862572316,-0.000222856035947263,8.14152784132417E-05,0.156178903920083,0.000803223863396118,-0.00107623562664035,0.0526757945291358,0.430892502028186,-0.00123368590593611,0.000803223863396154,0.682728311171601,-0.0391406327514328,0.428282668863839,0.0526650504933163,0.000912062397663164,-0.00107623562664042,-0.039140632751437,0.683680190045799
